tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
528500,6,Minneapolis,672483,2017,2017-09-20,Q3-2017
570000,6,St. Paul,672525,2017,2017-09-18,Q3-2017
3.00E+05,6,Minneapolis,672559,2017,2017-09-20,Q3-2017
123000,6,St. Paul,672604,2017,2017-06-29,Q2-2017
256000,6,Minneapolis,672606,2017,2017-09-14,Q3-2017
571805,6,Minneapolis,672614,2017,2017-10-05,Q4-2017
156000,6,St. Paul,672629,2017,2017-07-31,Q3-2017
135000,6,Minneapolis,672646,2017,2017-10-17,Q4-2017
548500,6,Minneapolis,672656,2017,2017-10-17,Q4-2017
750000,6,St. Paul,672691,2017,2017-07-11,Q3-2017
79000,6,St. Paul,672708,2017,2017-07-20,Q3-2017
169000,6,St. Paul,672710,2017,2017-08-21,Q3-2017
325000,6,St. Paul,672718,2017,2017-08-11,Q3-2017
530000,6,Minneapolis,672719,2017,2017-10-05,Q4-2017
425000,6,St. Paul,672723,2017,2017-07-11,Q3-2017
465700,6,Minneapolis,672734,2017,2017-09-12,Q3-2017
385000,6,Minneapolis,672735,2017,2017-10-05,Q4-2017
312500,6,Minneapolis,672751,2017,2017-09-20,Q3-2017
388200,6,Minneapolis,672762,2017,2017-09-20,Q3-2017
440000,6,Minneapolis,672783,2017,2017-10-05,Q4-2017
419000,6,Minneapolis,672789,2017,2017-10-13,Q4-2017
70000,6,Minneapolis,672825,2017,2017-11-22,Q4-2017
167500,6,St. Paul,672829,2017,2017-07-25,Q3-2017
251500,6,St. Paul,672841,2017,2017-06-28,Q2-2017
140000,6,Minneapolis,672885,2017,2017-10-05,Q4-2017
227000,6,St. Paul,672925,2017,2017-08-09,Q3-2017
259000,6,St. Paul,672931,2017,2017-07-07,Q3-2017
785000,6,St. Paul,672941,2017,2017-07-18,Q3-2017
987500,6,Minneapolis,672947,2017,2017-09-20,Q3-2017
970000,6,Minneapolis,672984,2017,2017-10-05,Q4-2017
218770,6,Minneapolis,672985,2017,2017-09-20,Q3-2017
575000,6,Minneapolis,673000,2017,2017-10-05,Q4-2017
240000,6,Minneapolis,673036,2017,2017-10-05,Q4-2017
275000,6,Minneapolis,673050,2017,2017-09-20,Q3-2017
167000,6,St. Paul,673088,2017,2017-08-21,Q3-2017
213000,6,Minneapolis,673094,2017,2017-09-20,Q3-2017
82550,6,Minneapolis,673100,2017,2017-09-20,Q3-2017
241500,6,St. Paul,673120,2017,2017-10-11,Q4-2017
435000,6,Minneapolis,673126,2017,2017-10-05,Q4-2017
167500,6,Minneapolis,673137,2017,2017-09-20,Q3-2017
204900,6,St. Paul,673144,2017,2017-07-07,Q3-2017
144000,6,Minneapolis,673163,2017,2017-09-12,Q3-2017
